Uettligen, Schule|Riedhaus|65
Interlaken, Heimwehfluhbahn|Matten b. I.,Gar. Grossniklaus|52
Schönholzerswilen, Post|Schönholzerswilen, Kirche|17
Muggio, Casarno|Muggio, Butigia|16
Tirano, Stazione|Campocologno, Stazione|2
Mont-Tramelan, scierie|Les Breuleux, gare|5
Granges VS, Cave Provins|Lens, Vaas-d'en-Bas|16
Montfaucon, poste|Les Enfers, restaurant|4
Meilen, Charrhalten|Meilen, Hohenegg|29
Zürich, Goldbrunnenplatz|Zürich Wiedikon, Bahnhof|334
Etagnières|Assens|74
Corcelles-le-Jorat, Halte TL|Bressonnaz TL|2
Flerden, Post|Urmein, Coms|31
Goldingen, Post|Goldingen, Unterdorf|43
Fiesch|Fiesch Feriendorf|34
Arzier|Le Muids|1
Litzirüti|Arosa|39
Egerkingen, Gäu Park|Härkingen, Altgraben|30
Wabern, Tram-Endstation|Wabern, Gurtenbahn|4
Zizers, Tennishalle|Zizers, Süd|28
Gorgier-St-Aubin, collège|St-Aubin NE, village|5
Kempten|Pfäffikon ZH|77
Dischma, Teufi|Davos Dorf, Duchli|26
Brione (Verzasca), Paese|Brione (Verzasca), Alnasca|21
Malvaglia, Rongie|Motto-Ludiano|42
Rodi, Posta|Fiesso, Paese|21
Bottighofen, altes Schulhaus|Scherzingen, Scheidweg|95
Robasacco, Paese|Cadenazzo, Stazione|1
Lohn-Lüterkofen, Bahnhof|Lohn SO, Dorf|89
Vevey|Vevey-Funi|34
Morges, En Grassiaz|Bremblens, bas du village|32
Besazio, Posta|Besazio, Fornasella|30
Grabs, Pflegeheim|Grabs, Spital|13
Etoy, En Bellevue|Buchillon, Grands-Bois|28
Etziken, Industrie|Etziken, Dorf|66
Goldach, Stelzenreben|Rorschach, Löwengarten|63
Jonen, Käppeli|Oberlunkhofen, Dorfplatz|67
Albisbrunn|Hausen am Albis, Bifang|84
Morges|Lausanne|35
Les Ecorcheresses|Souboz, village|12
